,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,1.0,0.0,0.0,2,1,2,0,12,17.6679724045,10.1054,10.1054,10.1054,10.1054,10.1054,10.1054,100.0,100,8.12958e-24,99.4881,99.4881,0.00621545,1.11893e-20,4.2574e-21,10.1054
1,1,0,0,0,2.0,0.0,0.0,2,1,4,1,15,25.1492611928,10.0145,10.0145,10.0145,10.0145,10.0145,10.0145,99.9001,100,4.32901,99.3939,99.4958,4.4561,0.451898,0.00051533,10.0145
2,1,0,0,0,3.0,0.0,0.0,2,1,6,2,15,35.9089221057,9.89979,9.89979,9.89979,9.89979,9.89979,9.89979,99.7358,100,6.79627,99.2518,99.5067,6.72284,0.681116,0.00330552,9.89979
3,1,0,0,0,4.0,0.0,0.0,2,1,8,3,15,44.530362869,9.76105,9.76105,9.76105,9.76105,9.76105,9.76105,99.5359,100,9.00417,99.062,99.5206,8.92536,0.903024,0.00466466,9.76105
4,1,0,0,0,5.0,0.0,0.0,2,1,10,4,15,52.2162430458,9.5985,9.5985,9.5985,9.5985,9.5985,9.5985,99.2988,100,11.2056,98.8336,99.5376,11.1493,1.12599,0.00492885,9.5985
5,1,0,0,0,6.0,0.0,0.0,2,1,12,5,15,59.4516615128,9.41289,9.41289,9.41289,9.41289,9.41289,9.41289,99.0055,100,13.3623,98.5692,99.5571,13.3051,1.34074,0.00852144,9.41289
6,1,0,0,0,7.0,0.0,0.0,2,1,14,6,15,66.4933618048,9.21049,9.21049,9.21049,9.21049,9.21049,9.21049,98.7391,100,15.5225,98.2939,99.5785,15.3824,1.54483,0.0128146,9.21049
7,1,0,0,0,-7.0,0.0,0.0,2,1,16,7,15,72.5573655757,9.13802,9.13802,9.13802,9.13802,9.13802,9.13802,94.1573,100,25.1637,93.7213,99.6066,25.393,2.49903,0.0397008,9.13802
8,1,0,0,0,-6.0,0.0,0.0,2,1,18,8,15,78.4206880298,9.08148,9.08148,9.08148,9.08148,9.08148,9.08148,91.2272,100,38.2347,90.7505,99.6492,38.1823,3.59205,0.0453444,9.08148
9,1,0,0,0,-5.0,0.0,0.0,2,1,20,9,15,83.421473615,9.08027,9.08027,9.08027,9.08027,9.08027,9.08027,90.0642,100,42.5952,89.5481,99.6645,42.7252,3.93271,0.0468332,9.08027
10,1,0,0,0,-4.0,0.0,0.0,2,1,22,10,15,87.7736157631,9.09685,9.09685,9.09685,9.09685,9.09685,9.09685,89.8657,100,43.9408,89.35,99.6656,44.0525,4.02656,0.0448091,9.09685
11,1,0,0,0,-3.0,0.0,0.0,2,1,24,11,15,91.6454796712,9.13778,9.13778,9.13778,9.13778,9.13778,9.13778,90.0059,100,43.4144,89.4906,99.6593,43.5171,3.98917,0.0431158,9.13778
12,1,0,0,0,-2.0,0.0,0.0,2,1,26,12,15,95.1666869014,9.19098,9.19098,9.19098,9.19098,9.19098,9.19098,90.43,100,42.3264,89.9132,99.651,42.424,3.91127,0.0416814,9.19098
13,1,0,0,0,-1.0,0.0,0.0,2,1,28,13,15,98.4320433072,9.24891,9.24891,9.24891,9.24891,9.24891,9.24891,90.9745,100,41.085,90.4593,99.642,41.1781,3.82024,0.040427,9.24891
