,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,pE,pN,pU,vE,vN,vU,qw,qx,qy,qz,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,2,0.0,0.0,0,10.0,0,0,10,1,10,0,16,53.7573,53.7573,53.7573,50.7049,26.2225,46.5958,99.3288,94.4852,98.8371,93.9604,95.3192,98.5401,94.8041,38.1956,0.0,48.0709
1,1,0.0,0.0,0,0.0,0,0,10,1,20,1,16,51.8172,51.8172,51.8172,45.8925,11.6384,39.176,99.2701,94.6434,98.7859,94.1054,94.4205,98.414,93.753,24.926,0.0,35.8985
2,1,15.0,0.0,0,0.0,0,0,6,1,26,2,16,38.9315,38.9315,38.9315,0.0,0.835293,18.6048,96.2869,94.4306,96.3514,93.8309,94.3153,93.1792,92.6145,0.259254,0.0,12.2131
3,1,0.0,0.0,0,0.0,0,0,10,1,36,3,16,37.9756,37.9756,37.9756,13.8019,39.3074,20.3517,95.8734,96.4734,96.1157,95.8494,96.8951,93.0969,92.4319,0.0,12.2207,15.9109
4,1,0.0,0.0,0,1.0,0,0,10,1,46,4,16,35.2088,35.2088,35.2088,11.9827,24.9597,0.0,96.1142,96.708,96.2131,96.1032,98.1736,94.3851,93.7184,0.0,10.4008,4.0186
5,1,0.0,0.0,0,0.0,0,0,10,1,56,5,16,33.1895,33.1895,33.1895,13.0324,26.1136,0.0,97.0613,97.4072,97.1448,97.0406,98.2258,94.9148,94.4575,0.841095,3.11861,4.659
6,1,15.0,0.0,0,0.0,0,0,6,1,62,6,16,38.7345,38.7345,38.7345,0.0,0.0,1.9798,96.2232,97.3108,96.3649,97.1663,95.6889,94.6766,94.1867,10.415,0.0,2.75731
7,1,0.0,0.0,0,0.0,0,0,10,1,72,7,16,38.6718,38.6718,38.6718,34.4556,0.0,25.4845,95.5354,98.7469,95.757,98.9717,94.0704,97.6701,93.6788,8.8863,0.51282,19.3435
8,1,0.0,0.0,0,-1.0,0,0,10,1,82,8,16,39.0403,39.0403,39.0403,29.692,0.0,21.507,94.5649,98.7564,95.044,99.0484,94.2066,97.9278,93.8314,24.2134,0.0,27.0643
9,1,0.0,0.0,0,0.0,0,0,10,1,92,9,16,51.8101,51.8101,51.8101,45.9143,11.6204,39.1998,94.1018,98.7878,94.6406,99.2688,94.42,98.4168,93.7514,25.0164,0.0,35.9399
10,1,15.0,0.0,0,0.0,0,0,6,1,98,10,16,44.028,44.028,44.028,13.4636,11.1659,21.6731,94.1341,96.8472,94.6577,96.7882,94.4267,95.6553,93.8325,0.0,0.0,23.0888
11,1,0.0,0.0,0,0.0,0,0,5,1,103,11,16,44.4565,44.4565,44.4565,26.2044,45.6763,23.1665,96.1056,96.3364,96.7761,96.1252,97.8608,94.3408,93.6464,0.0,23.8708,28.0913
12,1,0.0,-15.0,0,0.0,0,0,3,1,106,12,16,40.3442,40.3442,40.3442,9.3049,15.0864,7.74565,95.5157,95.2268,96.4922,95.8832,95.1064,93.6067,92.7244,0.0,18.4817,2.47624
13,1,0.0,0.0,0,0.0,0,0,10,1,116,13,16,46.9426,46.9426,46.9426,13.8426,9.27802,12.5551,95.1066,94.7569,98.016,97.2429,94.5132,93.7765,94.4563,0.0,26.3006,0.0
14,1,0.0,15.0,0,0.0,0,0,3,1,119,14,16,46.8133,46.8133,46.8133,34.0046,31.403,29.2492,95.637,95.4266,97.3711,96.7784,95.2446,95.5456,95.0978,0.0,26.8228,6.3747
15,1,0.0,0.0,0,0.0,0,0,5,1,124,15,16,44.6271,44.6271,44.6271,28.7096,45.9634,23.5322,96.0915,96.3353,96.777,96.1129,97.612,94.3324,93.6455,0.0,24.0576,28.3842
16,1,-15.0,0.0,0,0.0,0,0,6,1,130,16,16,38.6024,38.6024,38.6024,0.0,1.21287,19.0593,94.1551,96.0974,94.8069,95.9198,94.7476,93.1429,92.575,0.0,0.0,12.2722
17,1,0.0,0.0,0,0.0,0,0,5,1,135,17,16,47.5997,47.5997,47.5997,42.6139,6.41624,33.8614,94.0847,98.3951,94.6245,98.9818,94.4338,97.3846,93.7668,18.9263,0.0,19.5879
18,1,0.0,15.0,0,0.0,0,0,3,1,138,18,16,51.8816,51.8816,51.8816,46.1218,12.1331,39.4986,94.0876,98.7859,94.6274,99.2741,94.433,98.4161,93.7657,25.2322,0.0,36.2511
19,1,0.0,0.0,0,0.0,0,0,10,1,148,19,16,78.9605,78.9605,78.9605,75.8057,70.5474,74.439,96.51,99.2062,92.7353,99.4729,97.9115,99.3263,97.5755,67.0069,0.0,72.1158
20,1,0.0,-15.0,0,0.0,0,0,3,1,151,20,16,57.6271,57.6271,57.6271,45.6378,29.5455,40.0573,92.4285,98.3689,87.5446,98.9557,92.8312,98.5508,94.6193,42.9859,0.0,47.2275
21,1,0.0,0.0,0,0.0,0,0,5,1,156,21,16,48.2145,48.2145,48.2145,37.5217,2.81604,29.3049,92.5835,98.4716,91.5683,98.9696,91.9321,98.2401,93.7462,24.775,0.0,28.9793
